# 2000
Daft Punk | One More Time
Eminem | Love the Way You Lie
Katy Perry | Firework
Yolanda Be Cool | We No Speak Americano
Zaz | Je veux
Rihanna | Only Girl
Bruno Mars | Just the Way You Are
Inna | Sun Is Up
# 2011
Adele | Rolling in the Deep
LMFAO | Party Rock Anthem
Adele | Someone Like You
Bruno Mars | Grenade
Colonel Reyel | Celui
David Guetta | Titanium
Sexion d'Assaut | Avant qu'elle parte
Jennifer Lopez | On the Floor
# 2012
Gotye | Somebody That I Used to Know
PSY | Gangnam Style
Carly Rae Jepsen | Call Me Maybe
Fun. | We Are Young
Rihanna | Diamonds
Michel Telo | Ai se eu te pego
Tal | Le sens de la vie
Sexion d'Assaut | Wati House
# 2013
Daft Punk | Get Lucky
Robin Thicke | Blurred Lines
Stromae | Papaoutai
Avicii | Wake Me Up
Maître Gims | Bella
Pharrell Williams | Happy
Lorde | Royals
Stromae | Formidable
# 2014
Indila | Dernière danse
Kendji Girac | Color Gitano
Black M | Sur ma route
John Legend | All of Me
Sia | Chandelier
Mark Ronson | Uptown Funk
Ed Sheeran | Thinking Out Loud
Clean Bandit | Rather Be
# 2015
Adele | Hello
Wiz Khalifa | See You Again
Major Lazer | Lean On
The Weeknd | Can't Feel My Face
Louane | Avenir
Ellie Goulding | Love Me Like You Do
OMI | Cheerleader
Fréro Delavega | Le chant des sirènes
# 2016
Drake | One Dance
Sia | Cheap Thrills
The Chainsmokers | Closer
Justin Bieber | Sorry
Vianney | Je m'en vais
Twenty One Pilots | Stressed Out
Julien Doré | Le lac
Amir | J'ai cherché
# 2017
Luis Fonsi | Despacito
Ed Sheeran | Shape of You
Bigflo & Oli | Dommage
Orelsan | Basique
Camila Cabello | Havana
Portugal. The Man | Feel It Still
Ofenbach | Be Mine
Jul | Tchikita
# 2018
Aya Nakamura | Djadja
Drake | God's Plan
Angèle | Tout oublier
Maroon 5 | Girls Like You
Dua Lipa | IDGAF
Calvin Harris | One Kiss
Soprano | Roule
Clara Luciani | La grenade
# 2019
Lil Nas X | Old Town Road
Billie Eilish | bad guy
Angèle | Balance ton quoi
Shawn Mendes | Señorita
Post Malone | Circles
Lewis Capaldi | Someone You Loved
Ed Sheeran | I Don't Care
Aya Nakamura | Pookie
# 2020
The Weeknd | Blinding Lights
Dua Lipa | Don't Start Now
Vitaa & Slimane | Ça va ça vient
Tones and I | Dance Monkey
Jul | Bande organisée
Master KG | Jerusalema
Hatik | Angela
Doja Cat | Say So
# 2021
Olivia Rodrigo | good 4 u
The Kid LAROI | Stay
Måneskin | Beggin'
Dua Lipa | Levitating
Lil Nas X | Montero
Orelsan | La Quête
Glass Animals | Heat Waves
Amir | Rétine
# 2022
Harry Styles | As It Was
Stromae | L'enfer
Bad Bunny | Tití Me Preguntó
Rosalía | Despechá
Sam Smith | Unholy
David Guetta | I'm Good
Elton John | Cold Heart
Tiakola | Si j'savais
# 2023
Miley Cyrus | Flowers
Gazo | Casanova
Dua Lipa | Dance the Night
Taylor Swift | Cruel Summer
Werenoi | Pyramide
Pierre Garnier | Ceux qu'on était
Zaho de Sagazan | La symphonie des éclairs
Tate McRae | greedy
# 2024
Sabrina Carpenter | Espresso
Billie Eilish | Birds of a Feather
Benson Boone | Beautiful Things
Chappell Roan | Good Luck, Babe!
Gims | Ciel
Slimane | Mon amour
Teddy Swims | Lose Control
Lady Gaga | Die with a Smile
# 2025
Lady Gaga | Abracadabra
ROSÉ | APT.
Alex Warren | Ordinary
Gims | Sois pas timide
Jul | Cœur blanc
Théodora | Kongolese sous BBL
Doechii | Anxiety
Bad Bunny | DtMF
